Education,Education_Level,Total_Consumption,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
Basic,1,74,2,2,11,41,7,11
Master,4,26,4,1,11,6,2,2
Graduation,3,60,6,1,7,23,4,19
PhD,5,20,14,0,3,0,0,3
Basic,1,59,1,10,11,19,3,15
PhD,5,34,26,0,6,0,0,2
2n Cycle,2,198,111,16,37,7,9,18
PhD,5,1048,418,61,428,80,51,10
Master,4,574,327,9,122,19,14,83
Graduation,3,1029,371,159,194,58,106,141
Graduation,3,670,275,59,107,69,101,59
PhD,5,990,789,0,142,12,9,38
Graduation,3,11,1,1,5,0,3,1
PhD,5,1241,1004,12,145,32,12,36
Graduation,3,576,187,81,149,25,43,91
2n Cycle,2,172,56,4,76,17,1,18
PhD,5,664,365,32,117,34,110,6
Graduation,3,928,595,23,123,10,23,154
Graduation,3,2074,1132,134,384,175,134,115
2n Cycle,2,467,34,11,137,179,61,45
Graduation,3,257,116,6,82,6,6,41
Graduation,3,1146,565,32,435,28,32,54
PhD,5,689,372,18,126,47,48,78
PhD,5,2114,899,102,838,133,102,40
PhD,5,1717,55,16,1622,17,3,4
PhD,5,1346,760,40,480,0,40,26
PhD,5,1044,260,86,559,63,9,67
PhD,5,493,459,0,24,6,0,4
Graduation,3,957,466,0,224,119,49,99
Master,4,270,67,15,80,17,11,80
Basic,1,29,2,0,7,3,7,10
Master,4,121,67,1,20,0,2,31
Master,4,126,92,4,18,3,3,6
Graduation,3,23,4,2,11,2,0,4
PhD,5,57,20,1,28,3,3,2
Graduation,3,636,273,11,178,62,83,29
Graduation,3,1004,434,22,388,104,22,34
Graduation,3,734,321,11,309,33,26,34
Graduation,3,614,212,123,177,15,64,23
Graduation,3,1453,909,12,278,0,12,242
Master,4,1621,1184,32,352,21,16,16
Master,4,187,112,19,21,16,14,5
Graduation,3,1443,656,80,455,52,107,93
PhD,5,57,23,0,8,6,2,18
Graduation,3,637,537,6,42,16,6,30
PhD,5,948,712,0,45,0,0,191
Master,4,59,23,1,13,2,2,18
Graduation,3,18,1,3,4,2,2,6
Master,4,903,664,58,83,32,0,66
Graduation,3,112,6,10,21,19,14,42
Graduation,3,596,299,5,201,21,21,49
Graduation,3,233,99,13,66,43,8,4
PhD,5,1511,749,40,294,121,160,147
2n Cycle,2,1152,345,25,501,63,138,80
Graduation,3,48,9,4,18,7,5,5
Graduation,3,1185,440,81,368,0,122,174
Graduation,3,21,8,2,5,3,0,3
Master,4,965,670,9,249,0,28,9
Graduation,3,869,524,0,134,28,28,155
PhD,5,16,6,0,6,2,1,1
Graduation,3,1947,597,166,597,172,166,249
Graduation,3,71,7,0,12,13,7,32
Graduation,3,65,54,0,7,0,0,4
Graduation,3,1380,445,25,706,80,76,48
Master,4,1027,294,142,218,164,58,151
Master,4,411,292,3,77,10,3,26
Graduation,3,836,412,22,132,59,28,183
PhD,5,11,8,0,3,0,0,0
PhD,5,480,349,4,78,6,0,43
Graduation,3,606,328,9,124,12,24,109
PhD,5,284,144,2,99,7,2,30
Graduation,3,1472,1126,28,211,37,28,42
Graduation,3,1677,967,0,617,43,50,0
Graduation,3,1335,432,79,341,177,136,170
Master,4,334,138,39,63,55,18,21
Basic,1,18,0,0,1,7,4,6
Graduation,3,1338,509,133,497,78,24,97
PhD,5,1099,948,10,86,13,21,21
Master,4,97,39,2,25,4,3,24
PhD,5,63,28,1,21,3,0,10
2n Cycle,2,109,13,11,24,13,8,40
Graduation,3,902,307,26,360,138,31,40
Graduation,3,1574,901,31,345,75,31,191
2n Cycle,2,38,2,5,12,4,8,7
Graduation,3,960,283,17,372,138,106,44
Graduation,3,28,4,3,7,0,3,11
2n Cycle,2,1215,769,80,252,15,34,65
PhD,5,1497,518,42,742,55,56,84
PhD,5,449,350,8,66,17,4,4
Graduation,3,1064,445,53,213,104,98,151
Graduation,3,1757,778,178,689,41,27,44
Graduation,3,1440,709,93,374,104,80,80
2n Cycle,2,1006,359,35,314,93,116,89
PhD,5,1226,799,12,375,16,12,12
Graduation,3,1171,895,10,101,13,0,152
Master,4,92,40,2,23,0,4,23
PhD,5,99,76,0,7,0,0,16
2n Cycle,2,66,11,5,22,12,5,11
Graduation,3,564,245,16,223,21,43,16
Master,4,1427,647,107,391,175,67,40
PhD,5,86,39,1,9,2,1,34
Graduation,3,833,203,35,305,46,17,227
Graduation,3,242,138,3,38,4,0,59
Graduation,3,1869,587,51,898,247,0,86
Graduation,3,1364,595,97,291,127,133,121
2n Cycle,2,183,43,12,23,29,15,61
Master,4,450,301,7,74,10,0,58
Graduation,3,758,180,32,348,76,32,90
PhD,5,1507,794,115,243,150,0,205
Graduation,3,654,392,5,91,28,26,112
Graduation,3,81,39,1,22,3,4,12
PhD,5,137,107,2,12,2,2,12
Graduation,3,16,13,0,3,0,0,0
PhD,5,93,70,0,17,0,0,6
PhD,5,1158,680,11,392,75,0,0
Master,4,43,26,1,11,0,1,4
Graduation,3,1525,522,0,522,227,120,134
PhD,5,1230,412,12,546,78,182,0
Graduation,3,29,6,5,5,8,0,5
Graduation,3,25,2,3,6,4,1,9
Graduation,3,24,1,3,8,2,5,5
Graduation,3,38,6,2,15,6,6,3
Basic,1,57,4,12,5,3,16,17
Master,4,47,18,2,19,0,2,6
PhD,5,813,324,48,186,39,18,198
Master,4,629,327,9,125,25,4,139
Graduation,3,377,229,27,71,13,3,34
Master,4,1612,521,168,706,80,76,61
PhD,5,729,184,23,446,30,23,23
Graduation,3,50,4,8,11,12,2,13
Graduation,3,270,183,2,64,7,2,12
Graduation,3,177,31,19,35,26,14,52
Master,4,315,219,3,60,12,9,12
PhD,5,767,479,28,136,75,14,35
2n Cycle,2,1071,584,44,212,46,8,177
Graduation,3,1580,627,91,597,159,91,15
Graduation,3,60,24,1,16,12,2,5
Master,4,573,330,5,159,36,27,16
Graduation,3,41,19,1,10,2,1,8
Graduation,3,170,28,23,29,29,14,47
PhD,5,1167,606,148,228,15,148,22
Graduation,3,1526,1039,43,204,153,58,29
Master,4,458,411,0,26,0,0,21
Master,4,63,34,1,19,2,7,0
Graduation,3,405,161,28,136,32,3,45
Graduation,3,1027,623,53,178,23,17,133
Graduation,3,1478,604,26,470,123,161,94
Graduation,3,72,3,10,8,3,16,32
Graduation,3,48,12,2,17,6,1,10
Graduation,3,726,184,174,256,50,30,32
Master,4,860,393,0,239,90,69,69
PhD,5,1497,410,73,747,76,161,30
PhD,5,495,376,9,83,19,4,4
Graduation,3,20,7,2,4,2,1,4
Graduation,3,570,68,0,226,51,157,68
Graduation,3,769,642,14,49,0,7,57
2n Cycle,2,55,8,7,9,13,6,12
PhD,5,1808,840,53,804,23,71,17
Graduation,3,55,7,10,13,3,11,11
Graduation,3,577,464,5,64,7,0,37
Graduation,3,162,30,3,47,19,21,42
Graduation,3,1957,1492,38,287,50,57,33
2n Cycle,2,1576,752,122,476,39,153,34
Graduation,3,1616,1279,15,287,20,0,15
Graduation,3,36,22,1,8,2,1,2
PhD,5,1482,860,28,409,73,56,56
Graduation,3,22,3,0,5,13,0,1
PhD,5,63,10,5,28,11,1,8
Graduation,3,680,351,16,156,7,5,145
PhD,5,542,421,5,90,0,16,10
2n Cycle,2,50,2,5,7,0,18,18
Graduation,3,39,25,1,9,2,1,1
Graduation,3,1043,336,123,274,46,123,141
Master,4,385,191,9,97,0,6,82
Graduation,3,1633,563,50,774,28,31,187
2n Cycle,2,46,31,0,6,0,1,8
Graduation,3,761,479,5,82,7,17,171
Graduation,3,76,18,6,15,12,8,17
Graduation,3,290,91,65,52,10,44,28
Graduation,3,89,5,7,24,19,14,20
Graduation,3,70,2,14,28,16,3,7
2n Cycle,2,1066,362,50,431,134,35,54
Graduation,3,2009,724,74,929,97,55,130
2n Cycle,2,1345,605,91,399,0,45,205
Master,4,764,547,7,140,0,7,63
Graduation,3,195,104,1,54,13,9,14
Graduation,3,53,8,2,15,0,10,18
Graduation,3,368,224,2,25,7,0,110
PhD,5,544,384,0,102,21,32,5
2n Cycle,2,1853,556,54,845,202,133,63
PhD,5,35,24,0,2,0,0,9
PhD,5,446,408,0,21,0,0,17
Graduation,3,1180,265,199,303,234,9,170
Master,4,41,34,0,7,0,0,0
Graduation,3,727,374,64,116,84,25,64
Graduation,3,40,27,2,10,0,0,1
2n Cycle,2,1062,600,20,350,29,30,33
Graduation,3,40,13,2,18,6,1,0
Master,4,292,167,2,89,0,0,34
Graduation,3,15,0,2,3,4,1,5
2n Cycle,2,341,46,35,69,84,41,66
2n Cycle,2,369,88,39,78,58,13,93
PhD,5,401,243,11,119,10,3,15
Master,4,393,275,11,68,25,7,7
Master,4,10,6,0,4,0,0,0
Graduation,3,486,121,62,90,68,20,125
Graduation,3,69,4,12,15,19,7,12
PhD,5,1727,1308,0,396,23,0,0
Graduation,3,995,515,47,267,62,66,38
Graduation,3,45,4,0,16,17,4,4
2n Cycle,2,182,48,13,57,24,15,25
Master,4,989,562,58,168,43,16,142
Graduation,3,1677,769,22,500,210,143,33
Master,4,595,379,4,93,12,9,98
Graduation,3,156,29,12,59,19,1,36
Master,4,1226,387,68,569,89,45,68
2n Cycle,2,128,12,23,38,30,18,7
Graduation,3,86,6,10,12,3,15,40
Graduation,3,68,27,1,14,4,1,21
Graduation,3,16,9,1,5,0,0,1
2n Cycle,2,55,22,0,19,6,5,3
PhD,5,2114,899,102,838,133,102,40
PhD,5,2018,889,55,685,168,92,129
PhD,5,263,189,2,55,0,5,12
Graduation,3,55,48,0,2,0,0,5
Graduation,3,564,230,14,156,82,24,58
Master,4,1281,852,60,207,78,36,48
Graduation,3,83,35,3,20,4,1,20
Master,4,353,205,20,47,23,2,56
Graduation,3,1003,255,31,446,40,56,175
Basic,1,14,0,0,1,8,3,2
PhD,5,902,437,8,206,160,49,42
PhD,5,1139,825,8,53,11,0,242
Graduation,3,797,316,58,161,76,51,135
Graduation,3,1638,756,138,354,160,169,61
PhD,5,401,194,55,134,15,0,3
Graduation,3,84,7,17,18,6,10,26
Graduation,3,928,183,33,493,59,103,57
Graduation,3,203,171,0,11,0,1,20
Graduation,3,858,243,101,405,29,40,40
Graduation,3,409,181,21,69,39,3,96
Graduation,3,282,151,7,89,0,7,28
Graduation,3,1423,494,92,391,194,11,241
Graduation,3,1449,464,28,873,29,18,37
Graduation,3,28,5,1,5,10,0,7
Graduation,3,67,29,0,29,0,5,4
PhD,5,199,102,9,49,24,3,12
PhD,5,1453,604,28,674,91,28,28
Graduation,3,1253,571,12,523,63,60,24
PhD,5,1198,953,0,71,0,0,174
Master,4,178,63,3,67,8,9,28
Graduation,3,1990,770,29,890,250,27,24
Graduation,3,976,398,61,265,138,61,53
Master,4,1001,741,19,154,50,9,28
PhD,5,1919,1478,19,403,0,19,0
2n Cycle,2,350,156,29,56,30,32,47
PhD,5,1650,960,64,464,146,0,16
PhD,5,46,38,0,2,0,0,6
Graduation,3,1228,315,26,473,220,12,182
Master,4,95,15,20,25,2,7,26
PhD,5,62,19,6,20,0,5,12
Graduation,3,1761,812,99,431,237,149,33
Master,4,467,73,28,217,10,24,115
Graduation,3,1149,372,23,384,250,12,108
2n Cycle,2,2052,871,111,704,145,55,166
Graduation,3,1127,375,152,335,93,91,81
PhD,5,1416,760,80,466,17,13,80
PhD,5,1113,471,0,510,99,21,12
Graduation,3,125,31,9,27,16,9,33
PhD,5,966,819,0,72,12,0,63
Basic,1,32,1,4,3,8,9,7
Graduation,3,833,203,35,305,46,17,227
PhD,5,46,26,0,15,2,1,2
Graduation,3,960,354,21,311,167,75,32
PhD,5,1829,1253,0,447,23,71,35
Graduation,3,779,371,17,238,23,24,106
PhD,5,811,588,7,76,110,15,15
2n Cycle,2,1120,480,86,249,75,86,144
PhD,5,725,517,12,54,16,6,120
Graduation,3,1187,267,98,606,48,70,98
Graduation,3,2302,1111,24,790,160,45,172
Basic,1,66,7,7,14,7,16,15
PhD,5,1250,1166,0,48,0,0,36
2n Cycle,2,683,261,42,144,55,48,133
Graduation,3,305,135,25,51,23,25,46
Graduation,3,50,6,2,18,2,8,14
2n Cycle,2,995,711,28,142,49,18,47
PhD,5,41,11,0,13,2,4,11
PhD,5,77,42,0,17,0,0,18
Master,4,171,79,7,58,6,3,18
PhD,5,131,20,6,43,19,5,38
Master,4,54,30,0,8,2,0,14
PhD,5,53,20,2,23,3,1,4
Graduation,3,475,115,27,44,4,146,139
Graduation,3,694,263,5,233,69,41,83
Graduation,3,96,69,2,15,2,2,6
PhD,5,361,267,3,30,4,0,57
Graduation,3,1079,561,85,171,25,123,114
PhD,5,578,492,0,37,7,0,42
Master,4,64,14,7,9,6,16,12
PhD,5,149,80,4,46,0,17,2
Graduation,3,231,97,12,84,13,10,15
Graduation,3,728,197,107,227,7,59,131
Graduation,3,1778,693,21,925,31,24,84
Graduation,3,93,43,2,27,0,9,12
PhD,5,23,14,0,2,0,0,7
Graduation,3,662,186,36,234,86,72,48
Graduation,3,1198,434,137,400,45,137,45
PhD,5,81,59,0,11,4,2,5
2n Cycle,2,92,16,5,30,8,7,26
2n Cycle,2,491,230,35,75,63,57,31
Master,4,1564,829,138,430,60,92,15
Graduation,3,926,318,8,407,150,35,8
Master,4,1910,1206,55,445,168,18,18
Master,4,411,292,3,77,10,3,26
Graduation,3,94,30,9,12,2,11,30
Graduation,3,1085,729,17,133,11,0,195
2n Cycle,2,23,12,1,3,0,0,7
Graduation,3,6,2,1,1,1,0,1
Master,4,54,22,3,18,0,0,11
Graduation,3,1150,587,43,337,42,87,54
Graduation,3,1415,674,168,108,192,42,231
PhD,5,405,284,3,84,4,7,23
PhD,5,1908,1023,93,651,49,55,37
Graduation,3,2486,1394,22,708,89,91,182
2n Cycle,2,1315,311,26,640,180,37,121
PhD,5,45,27,0,12,0,1,5
Graduation,3,1789,1296,17,311,45,69,51
2n Cycle,2,19,3,6,7,0,0,3
Master,4,573,393,5,136,7,5,27
Graduation,3,805,218,63,282,137,35,70
Graduation,3,108,66,0,16,0,6,20
Graduation,3,23,4,2,11,2,0,4
Graduation,3,1493,795,0,545,95,58,0
Graduation,3,89,15,10,19,8,17,20
Graduation,3,936,384,25,292,130,41,64
Graduation,3,343,244,8,32,7,2,50
PhD,5,528,158,19,288,25,0,38
PhD,5,1901,1285,21,449,106,20,20
2n Cycle,2,724,349,16,144,28,5,182
Graduation,3,58,4,12,11,3,13,15
PhD,5,297,223,2,31,0,2,39
Graduation,3,488,157,43,127,68,56,37
Master,4,859,397,46,288,20,38,70
Graduation,3,1574,901,31,345,75,31,191
Graduation,3,69,14,3,21,2,1,28
PhD,5,17,10,0,3,0,0,4
Graduation,3,2194,1230,0,396,232,178,158
PhD,5,116,81,1,31,2,1,0
Graduation,3,279,154,20,66,0,12,27
Master,4,103,63,0,21,7,0,12
Master,4,44,30,0,11,0,0,3
Master,4,406,90,67,165,30,43,11
2n Cycle,2,1363,635,114,254,132,152,76
Graduation,3,236,127,4,73,15,6,11
Graduation,3,39,13,3,6,6,5,6
Graduation,3,137,18,42,24,15,20,18
Graduation,3,79,45,2,26,4,1,1
PhD,5,63,38,1,24,0,0,0
PhD,5,1314,986,36,168,16,0,108
Master,4,71,61,0,3,0,0,7
Graduation,3,58,4,9,16,17,0,12
PhD,5,702,201,53,172,116,77,83
Graduation,3,94,19,8,29,0,12,26
Basic,1,80,4,8,11,19,12,26
PhD,5,22,18,0,2,0,0,2
2n Cycle,2,1211,806,80,161,120,11,33
Graduation,3,1461,380,98,733,110,112,28
Graduation,3,1968,576,172,961,125,115,19
Graduation,3,1091,458,81,356,106,50,40
2n Cycle,2,55,5,10,13,3,8,16
Graduation,3,1366,350,60,568,110,133,145
Graduation,3,313,39,33,130,41,26,44
PhD,5,62,26,1,16,2,2,15
Master,4,92,68,0,16,0,0,8
PhD,5,72,45,3,9,4,4,7
Graduation,3,655,359,0,134,13,26,123
Graduation,3,704,403,24,29,6,24,218
Graduation,3,54,34,1,14,0,0,5
Graduation,3,178,73,18,66,7,12,2
Graduation,3,1033,292,30,415,63,33,200
Graduation,3,36,14,0,16,0,0,6
Master,4,122,80,1,37,0,1,3
Master,4,122,30,11,33,13,6,29
PhD,5,1123,463,96,333,168,53,10
Graduation,3,497,75,12,141,43,39,187
Graduation,3,691,538,13,91,17,6,26
2n Cycle,2,1363,635,114,254,132,152,76
PhD,5,12,8,0,3,0,0,1
PhD,5,2440,1315,22,780,145,0,178
2n Cycle,2,56,4,2,12,7,5,26
Master,4,37,12,0,13,2,0,10
Graduation,3,968,347,44,534,17,0,26
Graduation,3,270,192,5,53,0,5,15
PhD,5,278,241,0,12,0,0,25
Graduation,3,1250,631,28,491,30,14,56
Graduation,3,938,336,28,282,184,54,54
Master,4,1178,1099,0,45,0,0,34
Graduation,3,1155,743,19,181,12,0,200
PhD,5,653,124,83,267,85,59,35
PhD,5,49,15,0,8,4,2,20
PhD,5,506,397,19,69,12,0,9
Graduation,3,38,10,4,4,3,3,14
Graduation,3,1650,530,117,678,134,44,147
2n Cycle,2,1826,1215,33,249,64,116,149
Graduation,3,18,3,2,7,0,4,2
Graduation,3,906,444,44,382,11,8,17
PhD,5,46,26,0,15,2,1,2
Graduation,3,1477,736,114,279,82,76,190
Graduation,3,766,473,21,176,19,21,56
Graduation,3,47,32,0,5,2,0,8
Graduation,3,467,288,10,30,4,10,125
Graduation,3,2116,1050,178,555,77,138,118
PhD,5,1298,1001,44,107,58,44,44
2n Cycle,2,22,9,1,7,0,3,2
Master,4,396,234,14,77,19,10,42
PhD,5,20,7,2,6,2,0,3
Graduation,3,967,251,108,334,65,92,117
Graduation,3,357,172,10,125,21,13,16
Graduation,3,1401,565,42,548,64,83,99
Graduation,3,15,5,0,8,2,0,0
Master,4,2087,918,57,842,99,38,133
Graduation,3,981,652,8,158,21,0,142
Graduation,3,17,4,1,7,2,1,2
PhD,5,523,152,27,103,106,54,81
Graduation,3,23,8,0,9,2,1,3
PhD,5,1192,336,130,411,240,32,43
PhD,5,1958,938,19,843,25,95,38
PhD,5,133,68,8,18,19,8,12
Graduation,3,777,227,23,389,42,21,75
PhD,5,73,38,4,22,3,3,3
PhD,5,121,105,0,9,2,1,4
Graduation,3,424,162,50,100,55,30,27
Graduation,3,868,574,8,216,21,16,33
2n Cycle,2,756,160,80,369,67,39,41
Master,4,12,6,0,5,0,0,1
Graduation,3,937,614,35,160,58,35,35
Graduation,3,1862,897,161,430,186,161,27
2n Cycle,2,367,70,54,109,80,9,45
Graduation,3,443,120,19,206,25,19,54
Graduation,3,267,211,2,30,7,7,10
Graduation,3,61,11,0,16,7,6,21
PhD,5,1323,760,53,400,17,93,0
PhD,5,63,53,0,8,0,0,2
2n Cycle,2,64,7,4,13,15,8,17
2n Cycle,2,562,391,32,70,21,32,16
Graduation,3,312,199,9,57,20,21,6
Graduation,3,1156,516,56,449,86,33,16
2n Cycle,2,1104,709,45,115,30,160,45
PhD,5,16,12,0,4,0,0,0
Master,4,2008,1000,19,711,125,115,38
PhD,5,44,19,3,18,3,1,0
Graduation,3,1574,1224,28,140,0,14,168
PhD,5,63,16,2,18,3,0,24
Master,4,426,88,39,54,64,28,153
Basic,1,96,2,23,11,8,6,46
2n Cycle,2,635,508,11,59,23,5,29
Graduation,3,757,381,28,215,84,28,21
PhD,5,125,74,0,42,2,1,6
Master,4,332,146,0,93,7,13,73
Graduation,3,135,23,17,23,43,20,9
Graduation,3,330,110,5,137,26,23,29
Graduation,3,384,165,3,147,4,24,41
Graduation,3,1722,957,47,494,82,47,95
Graduation,3,78,41,0,17,3,1,16
Basic,1,24,1,3,4,2,3,11
2n Cycle,2,1168,176,29,818,0,33,112
Master,4,957,815,8,53,11,0,70
Graduation,3,15,6,1,2,2,0,4
Graduation,3,57,8,4,20,6,3,16
Graduation,3,1956,717,42,864,219,30,84
Graduation,3,2013,1067,138,750,0,19,39
2n Cycle,2,326,166,5,107,11,8,29
PhD,5,77,29,4,34,2,4,4
PhD,5,1313,714,76,395,116,0,12
Master,4,30,8,4,10,2,2,4
Graduation,3,315,229,5,56,3,2,20
Master,4,660,320,48,133,39,72,48
Graduation,3,74,23,0,26,7,15,3
2n Cycle,2,46,1,5,8,4,8,20
PhD,5,86,56,0,12,0,0,18
Graduation,3,1103,508,124,249,50,38,134
Master,4,61,29,0,25,2,2,3
Graduation,3,145,46,7,59,2,4,27
Graduation,3,684,454,0,171,8,19,32
PhD,5,411,350,3,39,0,0,19
Graduation,3,27,10,0,8,0,0,9
PhD,5,1060,735,40,183,52,20,30
Graduation,3,1459,897,126,196,91,112,37
Graduation,3,18,5,2,3,3,0,5
Graduation,3,1833,777,35,731,39,137,114
Master,4,237,162,6,37,6,13,13
PhD,5,48,35,0,11,0,0,2
Graduation,3,515,342,9,112,19,14,19
Graduation,3,1020,258,105,239,237,172,9
Graduation,3,1370,658,80,483,123,13,13
Graduation,3,1026,356,80,329,138,17,106
Graduation,3,301,213,5,28,7,7,41
Graduation,3,684,454,0,171,8,19,32
Graduation,3,499,457,4,29,0,0,9
Graduation,3,1004,241,45,604,34,26,54
PhD,5,218,210,0,6,0,0,2
Graduation,3,606,441,35,83,7,29,11
2n Cycle,2,75,19,13,18,10,7,8
Graduation,3,106,28,9,37,12,7,13
Graduation,3,990,476,75,162,29,151,97
Graduation,3,1097,364,40,425,158,60,50
Basic,1,16,0,0,2,3,3,8
2n Cycle,2,34,0,6,3,7,6,12
PhD,5,1711,863,83,547,86,99,33
Master,4,438,349,7,35,0,0,47
Basic,1,75,5,23,15,0,18,14
Master,4,225,184,2,19,8,8,4
Master,4,18,8,0,8,0,0,2
Graduation,3,470,277,21,64,62,21,25
Graduation,3,91,44,5,19,0,4,19
Master,4,2525,1156,120,915,94,144,96
Graduation,3,504,373,14,83,6,9,19
Graduation,3,235,134,8,76,6,0,11
PhD,5,1232,1148,0,60,0,0,24
Basic,1,88,6,12,3,21,6,40
Graduation,3,17,4,1,11,0,0,1
Graduation,3,24,5,4,8,2,0,5
Graduation,3,60,24,2,20,2,2,10
PhD,5,1020,899,0,101,0,0,20
PhD,5,155,108,1,28,13,1,4
2n Cycle,2,51,27,2,7,0,2,13
Master,4,1812,816,66,549,216,66,99
Master,4,1461,1298,0,70,37,14,42
Graduation,3,96,10,0,11,17,29,29
Graduation,3,160,87,13,34,10,6,10
Master,4,139,57,2,51,4,2,23
Master,4,908,635,15,100,20,7,131
2n Cycle,2,183,43,12,23,29,15,61
Master,4,1161,964,34,137,15,0,11
PhD,5,988,572,8,259,34,35,80
2n Cycle,2,1072,341,142,113,259,151,66
Graduation,3,174,63,6,57,13,13,22
Graduation,3,758,221,104,169,102,78,84
Master,4,195,140,3,29,4,5,14
Graduation,3,31,1,2,8,4,3,13
Master,4,1084,291,10,689,84,10,0
Master,4,685,544,13,85,8,6,29
PhD,5,1672,684,100,801,21,66,0
Graduation,3,43,1,12,9,0,14,7
PhD,5,49,35,0,4,0,0,10
Graduation,3,133,87,3,25,3,2,13
Graduation,3,363,309,3,24,4,3,20
Graduation,3,545,172,73,93,95,78,34
Graduation,3,1065,625,38,242,50,34,76
Graduation,3,2047,972,59,913,25,19,59
Graduation,3,296,157,6,39,6,13,75
Graduation,3,140,48,9,45,3,15,20
Graduation,3,530,279,83,88,32,14,34
PhD,5,152,132,0,16,0,0,4
PhD,5,1598,919,0,505,99,30,45
Graduation,3,114,62,0,22,3,1,26
Basic,1,101,1,45,3,4,6,42
Graduation,3,25,2,6,4,3,1,9
2n Cycle,2,789,408,61,109,48,122,41
Graduation,3,87,51,1,7,2,1,25
PhD,5,90,62,1,16,3,2,6
PhD,5,1215,952,12,180,47,12,12
PhD,5,811,618,15,106,20,7,45
Graduation,3,61,11,7,12,2,2,27
Master,4,405,318,3,17,4,7,56
Master,4,72,56,0,14,0,0,2
Graduation,3,189,110,5,59,7,1,7
PhD,5,40,23,0,11,2,1,3
Graduation,3,63,27,5,8,8,3,12
Graduation,3,52,18,3,19,3,3,6
PhD,5,39,18,0,9,0,1,11
Graduation,3,805,303,0,280,60,147,15
Master,4,130,97,1,19,2,0,11
Graduation,3,1631,997,15,414,99,30,76
Graduation,3,34,5,4,13,8,0,4
Graduation,3,152,95,11,35,0,4,7
Basic,1,21,1,6,2,3,6,3
PhD,5,71,46,1,12,3,0,9
Graduation,3,899,411,106,147,54,115,66
Master,4,711,244,51,270,101,0,45
PhD,5,351,152,9,121,12,12,45
Graduation,3,8,1,1,3,1,1,1
Basic,1,119,10,17,18,8,26,40
Graduation,3,21,12,0,5,0,0,4
PhD,5,10,5,0,4,0,0,1
Graduation,3,973,790,19,133,12,0,19
PhD,5,1536,882,29,514,38,29,44
Graduation,3,992,615,28,259,12,48,30
PhD,5,1529,1004,59,265,115,59,27
Graduation,3,860,133,27,421,13,195,71
Graduation,3,928,595,23,123,10,23,154
PhD,5,418,293,0,87,4,11,23
2n Cycle,2,587,313,15,47,20,0,192
Graduation,3,641,151,81,86,168,91,64
Graduation,3,23,15,0,2,0,0,6
Graduation,3,2279,736,63,946,219,189,126
PhD,5,49,15,0,8,4,2,20
PhD,5,1779,982,17,672,23,34,51
Master,4,1804,1142,51,415,90,69,37
Graduation,3,48,28,0,11,0,0,9
Graduation,3,83,46,0,12,0,2,23
Graduation,3,1862,897,161,430,186,161,27
PhD,5,793,489,6,152,8,6,132
Graduation,3,84,25,4,9,6,8,32
PhD,5,183,145,1,33,2,1,1
2n Cycle,2,1383,630,26,611,44,18,54
Graduation,3,999,760,38,104,50,9,38
Master,4,825,420,15,186,151,38,15
Graduation,3,246,125,17,52,3,19,30
Master,4,610,464,5,64,7,0,70
Master,4,76,6,6,29,12,15,8
Graduation,3,1286,1090,12,96,16,12,60
Master,4,30,3,2,11,2,2,10
Graduation,3,99,24,0,27,8,30,10
Graduation,3,1192,737,21,106,55,63,210
Graduation,3,362,254,6,71,4,0,27
Graduation,3,2130,817,185,687,145,55,241
2n Cycle,2,1229,620,54,239,99,98,119
PhD,5,38,13,4,20,0,0,1
Master,4,485,113,61,204,34,26,47
Basic,1,434,7,23,78,133,49,144
Graduation,3,44,16,2,18,2,1,5
PhD,5,496,462,0,24,6,0,4
2n Cycle,2,78,22,2,10,6,4,34
Master,4,2346,968,147,842,137,42,210
Graduation,3,794,283,112,151,51,72,125
Graduation,3,17,1,2,5,6,0,3
Graduation,3,26,14,1,7,2,1,1
2n Cycle,2,76,30,5,24,6,3,8
PhD,5,15,4,0,5,0,1,5
PhD,5,62,52,0,9,0,0,1
Master,4,198,62,1,57,19,11,48
PhD,5,49,20,2,14,3,0,10
Graduation,3,802,545,7,114,37,21,78
Graduation,3,1736,558,79,622,207,175,95
Graduation,3,57,6,5,4,13,4,25
Master,4,59,39,1,9,2,0,8
Graduation,3,2302,1111,24,790,160,45,172
2n Cycle,2,37,4,6,8,6,3,10
Graduation,3,310,183,5,65,3,5,49
Graduation,3,1305,546,72,376,94,145,72
Graduation,3,832,606,7,155,10,0,54
Graduation,3,401,266,6,51,8,6,64
PhD,5,1501,1142,29,249,38,29,14
Graduation,3,1189,1074,0,69,0,0,46
Graduation,3,1194,771,51,154,54,10,154
PhD,5,656,371,32,189,0,58,6
Master,4,1540,556,14,717,210,0,43
Master,4,311,202,5,74,11,5,14
2n Cycle,2,820,209,162,209,41,162,37
2n Cycle,2,274,35,40,111,36,40,12
PhD,5,57,37,0,17,0,0,3
Graduation,3,448,171,45,73,59,10,90
2n Cycle,2,44,12,2,20,3,2,5
Graduation,3,102,44,4,21,6,0,27
Graduation,3,61,20,2,9,4,6,20
Master,4,1643,779,86,537,34,69,138
Master,4,397,170,6,97,24,12,88
Graduation,3,1121,491,48,231,112,105,134
Graduation,3,473,173,8,107,7,2,176
Basic,1,50,7,10,13,16,0,4
Master,4,1678,1205,0,235,19,14,205
Graduation,3,58,10,7,25,6,3,7
